frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
192,1,2087.787880087662 1496.03885811442 2774.5665866323284 2071.453873101063,2325.3349609375 1861.02099609375 2562.968994140625 1942.6611328125,0.5274736285209656,AP05JEO,0.25606173257569353
193,1,2089.9414869104003 1501.646125712184 2775.683555132532 2078.4038838114047,2329.9306640625 1858.3524169921875 2564.45947265625 1942.3143310546875,0.4848805367946625,AP05JEO,0.6342450999672901
194,1,2089.3049663923553 1506.1424687527522 2778.4620636384275 2084.6670560975854,2338.35595703125 1871.190673828125 2577.9482421875 1958.0009765625,0.5912671685218811,AP05JEO,0.3981409183053825
195,1,2093.833248724373 1511.758581106826 2784.61086379127 2091.8412976605173,2341.408203125 1874.638916015625 2582.028564453125 1960.051025390625,0.6462416052818298,AP05JEO,0.31051730421710827
196,1,2094.333959112375 1516.9423860492334 2784.4421377622884 2097.5221160421,2333.275390625 1875.502685546875 2578.3291015625 1970.115478515625,0.648219108581543,AP05JEO,0.3750954957615013
197,1,2096.6239799155755 1521.9417959224147 2791.6284868290986 2104.911362641391,2341.99169921875 1893.28125 2588.83203125 1986.725830078125,0.4875147044658661,AP05JEO,0.15976204436800717
198,1,2098.0299729170456 1529.7800590802856 2802.6759883937493 2115.61039618017,2358.48046875 1907.9564208984375 2611.92626953125 1987.9361572265625,0.4772779047489166,AP05JEO,0.36169438485854694
199,1,2099.270724638632 1535.5068253476359 2809.035104531548 2122.9089438966294,2336.605224609375 1910.927490234375 2596.818603515625 1994.197998046875,0.5618248581886292,AP05JEO,0.36566245852033563
200,1,2101.9515251046996 1541.3444386324397 2818.149038640998 2130.5578086021396,2340.331787109375 1910.093994140625 2598.052001953125 1997.736328125,0.5571065545082092,AP05JEO,0.6057628233525676
201,1,2101.172831564985 1547.830808774723 2820.592102085156 2137.678202507981,2344.404541015625 1923.3482666015625 2571.978271484375 2005.9039306640625,0.5798951387405396,AP05JEO,0.3858014779951703
202,1,2102.649722450133 1552.3738685392063 2825.2659488094982 2142.1713745061043,2379.48583984375 1933.175048828125 2621.265625 2017.04931640625,0.2765151560306549,AP05JEQ,0.14079233993811555
203,1,2102.7275433979858 1559.914815847275 2830.7434338017056 2147.4668899110993,2358.00390625 1932.655517578125 2606.95947265625 2033.945068359375,0.5825284123420715,AP05JEO,0.20545415843160988
204,1,2103.0406260589907 1566.0465833551455 2835.0662275923605 2150.5072826235714,2362.1570638020835 1944.6551513671875 2613.9537760416665 2042.2955729166667,0,0,0
205,1,2103.353708719995 1572.1783508630162 2839.389021383015 2153.5476753360435,2366.3102213541665 1956.65478515625 2620.9480794270835 2050.6460774739585,0,0,0
206,1,2103.666791381 1578.3101183708868 2843.71181517367 2156.5880680485157,2370.46337890625 1968.6544189453125 2627.9423828125 2058.99658203125,0.6026623845100403,AP05JEO,0.32123043668548085
207,1,2103.4439069419363 1585.3965745389032 2849.574959577269 2157.783562812399,2371.28466796875 1973.244140625 2586.38525390625 2057.854248046875,0.5995705127716064,AP05JEO,0.25203587769498176
208,1,2101.430789370765 1591.595393546984 2852.4932250599627 2158.159817056469,2387.697265625 1984.99365234375 2637.29638671875 2076.603515625,0.3220595717430115,AP05JEQ,0.15269797565083107
209,1,2110.174215980644 1595.8401485166148 2860.306103619351 2156.1195542696323,2366.755859375 1988.392822265625 2638.51123046875 2091.26513671875,0.5398996472358704,AP05JEQ,0.3286142099688976
210,1,2109.482203764136 1601.409329649301 2862.210065004051 2154.371767952975,2369.6142578125 2007.593017578125 2636.28759765625 2100.571533203125,0.6274531483650208,AP05JEO,0.3859720951186866
211,1,2110.598079530971 1607.8402457676098 2865.179381516338 2151.5023363181967,2387.4580078125 2005.796142578125 2650.822998046875 2100.244140625,0.6286717057228088,AP05JEO,0.49036334568984113
212,1,2109.0122203918017 1612.9154482439524 2862.922449021854 2154.048949889301,2379.0625 2016.6588134765625 2649.085205078125 2103.48095703125,0.5389642715454102,AP05JEO,0.20267692684372607
213,1,2113.4943955060276 1621.335373101572 2869.155210222036 2156.3472867272176,2382.0712890625 2019.2303466796875 2624.375 2115.49169921875,0.6288544535636902,AP05JEO,0.4516469379220884
214,1,2115.8315855515184 1627.96790150539 2869.4472364790035 2157.932606143263,2384.501220703125 2027.447021484375 2647.657470703125 2123.50439453125,0.6298606991767883,AP05JEO,0.34538909570285664
215,1,2112.3165404118427 1635.0715729109813 2865.8863598042753 2159.586278407789,2387.2041015625 2034.5247802734375 2647.95361328125 2133.19873046875,0.537016749382019,AP05JEO,0.3909814816140481
216,1,2112.5963296449554 1643.09326699001 2866.0791212226277 2159.6718595828916,2378.7998046875 2052.769775390625 2671.00830078125 2140.92822265625,0.6140645146369934,AP05JEO,0.25777023454593334
217,1,2112.529674638223 1649.6754994250446 2865.9909771815555 2158.9254851176656,2377.32080078125 2054.2822265625 2669.0224609375 2152.59521484375,0.6740955114364624,AP05JEO,0.1641535240381979
218,1,2121.9944392322664 1657.142292702544 2873.6811463299196 2158.7329339612606,2376.03515625 2071.604248046875 2653.489013671875 2156.85107421875,0.618850588798523,AP05JEO,0.30219983875473516
0,3,752.2139282226562 1369.312255859375 1429.306396484375 1984.0484619140625,974.8357543945312 1753.404052734375 1199.599609375 1851.19189453125,0.5669244527816772,NA13NPU,0.3183228863255629
1,3,751.4417651576939 1374.4324897007277 1430.5899679755842 1992.3049053134591,969.3782958984375 1767.859375 1193.330078125 1861.823486328125,0,0,0
2,3,750.6696020927316 1379.5527235420802 1431.8735394667933 2000.561348712856,963.9208374023438 1782.314697265625 1187.060546875 1872.455078125,0.4821714758872986,NA13NPU,0.19815016738667182
3,3,743.0389125195543 1386.442388265329 1430.0114325719946 2011.7429606670112,956.32080078125 1785.892578125 1184.32958984375 1879.593994140625,0.4998030364513397,MA13NRU,0.1720539950860672
4,3,738.0372079952757 1392.2398445430001 1428.0896030255326 2021.3081542104635,951.7564697265625 1791.403564453125 1184.4160563151042 1887.2376302083333,0,0,0
5,3,733.0355034709972 1398.0373008206714 1426.1677734790703 2030.873347753916,947.192138671875 1796.91455078125 1184.5025227864583 1894.8812662760417,0,0,0
6,3,728.0337989467187 1403.8347570983424 1424.2459439326083 2040.4385412973684,942.6278076171875 1802.425537109375 1184.5889892578125 1902.52490234375,0.4928336441516876,NA13NRU,0.15766181911210866
7,3,723.6886163630915 1408.7087037120323 1423.016447626138 2049.313507105482,948.5638427734375 1813.5480346679688 1178.298828125 1910.5049438476562,0,0,0
8,3,719.3434337794642 1413.5826503257222 1421.7869513196679 2058.188472913596,954.4998779296875 1824.6705322265625 1172.0086669921875 1918.4849853515625,0.5394649505615234,NA13NRU,0.432431818415117
9,3,710.6084027838698 1419.0848789175777 1416.7057125361225 2066.5472569137,935.3765258789062 1832.4049072265625 1177.88623046875 1928.1416015625,0.5784577131271362,NA13NRU,0.603201846550949
10,3,704.3579042462954 1424.9764770484826 1412.6213768721275 2074.2846050073817,926.3594055175781 1836.214599609375 1173.1372680664062 1936.0838012695312,0,0,0
11,3,698.1074057087212 1430.8680751793877 1408.5370412081325 2082.0219531010634,917.34228515625 1840.0242919921875 1168.3883056640625 1944.0260009765625,0.5050681233406067,NA13NRU,0.2696234776932613
12,3,693.6689277680473 1439.9992668565349 1407.0169304577064 2092.1356846300973,925.7425537109375 1853.29833984375 1158.468505859375 1958.682861328125,0.4612720012664795,MA13NRU,0.5853602916797761
13,3,691.5625149225134 1442.5360009127935 1406.7010714788062 2097.0175138050454,925.9464111328125 1860.3262939453125 1170.8045654296875 1966.883056640625,0.5571578741073608,MA13NRU,0.15545964915855506
14,3,688.0376380499793 1449.7046161199883 1402.9590528797985 2104.7440989547986,905.5786743164062 1874.880615234375 1173.865966796875 1974.226318359375,0.35590672492980957,NA13NRU,0.24659299979876745
15,3,683.8375107400329 1457.8828246734097 1400.7060879691826 2112.7272235508235,905.1197052001953 1881.5066528320312 1169.7810363769531 1982.3567504882812,0,0,0
16,3,679.6373834300866 1466.061033226831 1398.453123058567 2120.7103481468484,904.6607360839844 1888.1326904296875 1165.6961059570312 1990.4871826171875,0,0,0
17,3,675.4372561201403 1474.239241780252 1396.2001581479512 2128.6934727428734,904.2017669677734 1894.7587280273438 1161.6111755371094 1998.6176147460938,0,0,0
18,3,671.237128810194 1482.4174503336735 1393.9471932373353 2136.6765973388983,903.7427978515625 1901.384765625 1157.5262451171875 2006.748046875,0.5728074908256531,NA13NRU,0.7944056153888016
19,3,669.5854467138054 1491.0206787674538 1394.0744269046525 2143.532367050114,917.968505859375 1911.15673828125 1148.37255859375 2009.7374267578125,0.6390044689178467,NA13NRU,0.33689009962352606
20,3,664.9639746893133 1498.595764589358 1391.2180091657078 2148.4403003844027,901.1597900390625 1917.756591796875 1150.6107177734375 2023.8663940429688,0,0,0
21,3,660.3425026648214 1506.170850411262 1388.3615914267634 2153.348233718692,884.35107421875 1924.3564453125 1152.848876953125 2037.995361328125,0.6199504733085632,NA13NRU,0.3043338301162374
22,3,656.088501357682 1510.2364043308523 1385.6248282003517 2155.1254411823597,872.0322875976562 1923.384521484375 1137.369384765625 2037.88916015625,0.6461216807365417,NA13NRU,0.34310404133566685
23,3,652.4759519208028 1515.671505898233 1383.4698914725102 2156.1545359789534,910.2145385742188 1941.6591796875 1144.8203125 2045.091064453125,0.6566089987754822,NA13MRU,0.6832875361903469
24,3,649.9763169074895 1520.5254497798876 1381.850671960827 2156.1910338365706,871.8385620117188 1951.196044921875 1131.603515625 2066.6826171875,0.629777729511261,NA13NRU,0.513745580321555
25,3,647.6776868789603 1527.172920408709 1381.5685128044995 2156.4695140115296,866.2911376953125 1960.0860188802083 1130.8167724609375 2075.13623046875,0,0,0
26,3,645.3790568504313 1533.8203910375305 1381.2863536481718 2156.7479941864885,860.7437133789062 1968.9759928385417 1130.030029296875 2083.58984375,0,0,0
27,3,643.0804268219022 1540.4678616663518 1381.0041944918444 2157.0264743614475,855.1962890625 1977.865966796875 1129.2432861328125 2092.04345703125,0.6642910838127136,NA13NRU,0.1603400552096399
28,3,639.9584489204785 1546.565571935117 1378.9821461382662 2156.8731637829883,873.2217407226562 1982.525390625 1116.490234375 2092.09423828125,0.6683342456817627,MA13MRU,0.19371081782935934
29,3,636.3872007308433 1554.2422696179424 1376.1517484425192 2156.730828920953,868.963916015625 1994.0527587890624 1117.603466796875 2103.99384765625,0,0,0
30,3,632.815952541208 1561.918967300768 1373.3213507467722 2156.588494058918,864.7060913085937 2005.580126953125 1118.71669921875 2115.89345703125,0,0,0
31,3,629.2447043515729 1569.5956649835932 1370.4909530510254 2156.446159196883,860.4482666015625 2017.1074951171875 1119.829931640625 2127.79306640625,0,0,0
