frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
159,8.0,[1035.4062261840147 1190.724885869151 1570.3205850220922 1659.194988746723],[1207.24169921875 1471.9105224609375 1386.8548583984375 1558.2762451171875],0.3610881567001343,KH05ZZK,0.31390959704570126
159,1.0,[2046.4274547618497 1310.9878468452275 2670.8303084339723 1834.1112312513633],[2284.49951171875 1639.0411376953125 2476.00146484375 1709.4415283203125],0.32345929741859436,AP05JEO,0.2946504870904476
160,8.0,[1034.477667127901 1194.057598312818 1570.1493467016512 1664.0709602614108],[1205.275146484375 1471.001708984375 1383.6763916015625 1558.9521484375],0.42448002099990845,KH05ZIK,0.13454830055149944
161,1.0,[2055.2624584131886 1319.6608165172447 2673.4651635998803 1844.7398208400537],[2280.90185546875 1637.20166015625 2523.09912109375 1722.9345703125],0.302915096282959,AP05JEO,0.44269846044410877
161,8.0,[1031.9118295046896 1199.8501712919774 1568.9792874414943 1669.6382626745212],[1204.7420654296875 1478.3851318359375 1381.019775390625 1564.3326416015625],0.4500869810581207,KH05ZTV,0.1916463303614366
162,8.0,[1029.3807508462342 1201.0541186446128 1568.653199190223 1672.8369901343847],[1201.9033203125 1482.2347412109375 1381.40576171875 1568.3038330078125],0.4386116862297058,KH05ZTK,0.5501668447114672
162,1.0,[2051.9311597877972 1325.0984300716289 2674.598493487441 1853.3047621681915],[2275.7294921875 1651.5091552734375 2456.11181640625 1732.8585205078125],0.27412739396095276,AP05JEO,0.27470980364610365
163,8.0,[1024.9188269968 1205.4146232716969 1568.0577237525713 1676.5927773967453],[1206.004638671875 1484.218017578125 1382.1739501953125 1575.265625],0.5027015209197998,KH05ZTK,0.8587942313880085
163,1.0,[2055.1669075718173 1329.0024606708723 2678.669122924457 1859.021621689232],[2269.33837890625 1650.484130859375 2487.99853515625 1741.46044921875],0.36252787709236145,AP05JEO,0.4322359561728725
164,1.0,[2060.7242285662523 1333.015004499842 2683.01640885259 1866.0053648948108],[2278.4248046875 1660.6959228515625 2492.3974609375 1752.1904296875],0.5315104722976685,AP05JEO,0.13666319182647305
164,8.0,[1023.2178633144164 1210.0188594633316 1568.5331555076968 1682.2296384871022],[1205.71875 1492.7490234375 1380.9737548828125 1577.30419921875],0.5145418047904968,KH05ZZK,0.14866146024986712
165,1.0,[2067.87256635638 1338.0004132534564 2686.757332073945 1874.8832339070946],[2275.887939453125 1667.85888671875 2517.158447265625 1751.541259765625],0.5416929721832275,AP05JEO,0.264095230949764
